FeatureID,FeatureName,low Log2 Fold Change,high Log2 Fold Change,high P-Value,low Average,low P-Value,high Average
ENSMUSG00000096688,Mup17,0.073157901,1.949939169,4.63E-35,10.06669047,1,12.68702461
,,,,,,,
ENSMUSG00000079015,Serpina1c,-0.138274437,1.947934033,2.85E-36,17.18938449,0.974235178,24.87019494
,,,,,,,
ENSMUSG00000022708,Zbtb20,-1.245575721,1.937952699,5.18E-35,0.470812533,0.001416997,1.426514248
,,,,,,,
ENSMUSG00000066366,Serpina1a,-0.032946701,1.907028443,6.16E-35,9.836011235,1,13.2397041
,,,,,,,
ENSMUSG00000021577,Sdha,-0.140462314,1.901682727,6.63E-34,0.766409693,0.972857632,1.107213782
,,,,,,,
ENSMUSG00000020051,Pah,0.026419507,1.892131845,7.60E-34,1.263063342,1,1.634198662
,,,,,,,
ENSMUSG00000008540,Mgst1,0.18281611,1.883680855,3.58E-34,12.92938193,0.772468761,15.09478907
,,,,,,,
ENSMUSG00000025950,Idh1,-0.146309261,1.876466501,4.59E-33,0.769561048,0.961474974,1.113760178
,,,,,,,
ENSMUSG00000003623,Crot,0.002807689,1.867225286,3.26E-33,1.58008972,1,2.07171613
,,,,,,,
ENSMUSG00000074115,Saa1,0.141891667,1.859328672,4.28E-33,31.612509,0.884962525,37.82283958
,,,,,,,
ENSMUSG00000038539,Atf5,0.109412985,1.85043033,2.03E-32,1.136378845,0.962675041,1.388272385
,,,,,,,
ENSMUSG00000055737,Ghr,-0.178298861,1.839458332,5.07E-32,0.831327619,0.893417911,1.224885251
,,,,,,,
ENSMUSG00000023175,Bsg,-0.094409378,1.809635964,4.16E-31,0.929649915,1,1.293022323
,,,,,,,
ENSMUSG00000066154,Mup3,0.209061953,1.799963667,1.17E-31,39.26337024,0.709213407,44.75187245
,,,,,,,
ENSMUSG00000026064,Ptp4a1,-0.158091099,1.780177506,3.87E-30,0.734896136,0.946158125,1.063243822
,,,,,,,
ENSMUSG00000027808,Serp1,0.007739531,1.769892574,3.45E-30,1.191842704,1,1.54505857
,,,,,,,
ENSMUSG00000029810,Tmem176b,-0.257688977,1.749582593,4.24E-29,0.680692819,0.708944968,1.048787197
,,,,,,,
ENSMUSG00000021127,Zfp36l1,-1.498057843,1.746708915,6.11E-29,0.307572311,0.000121697,1.088883873
,,,,,,,
ENSMUSG00000071178,Serpina1b,0.11295798,1.741156558,7.07E-30,10.02698339,0.95316815,12.10183136
,,,,,,,
ENSMUSG00000040017,Saa4,0.287559439,1.692466519,4.86E-28,2.181998648,0.522331417,2.3423005
,,,,,,,
ENSMUSG00000020884,Asgr1,0.287905037,1.678697809,1.41E-27,1.638074664,0.522795085,1.755961628
,,,,,,,
ENSMUSG00000073842,Mup7,0.211114412,1.677786769,1.12E-27,2.965425661,0.708343898,3.339643935
,,,,,,,
ENSMUSG00000074207,Adh1,0.204874743,1.674783254,1.51E-27,1.648159002,0.719786978,1.86343163
,,,,,,,
ENSMUSG00000015083,C8g,0.243782481,1.6661082,2.69E-27,1.822744104,0.624165004,2.007943322
,,,,,,,
ENSMUSG00000021794,Glud1,0.138933968,1.664855284,2.30E-27,2.054053609,0.894191515,2.421348232
,,,,,,,
ENSMUSG00000024391,Apom,0.288592701,1.65606626,1.83E-26,0.940364524,0.528543416,1.005744643
,,,,,,,
ENSMUSG00000039196,Orm1,0.451478387,1.653183525,4.32E-27,15.99565098,0.21395187,15.39619606
,,,,,,,
ENSMUSG00000032083,Apoa1,0.256474414,1.649151674,3.12E-27,23.28851821,0.585578429,25.39767081
,,,,,,,
ENSMUSG00000037798,Mat1a,0.216205228,1.641495519,6.10E-27,6.13127754,0.691817335,6.858386354
,,,,,,,
ENSMUSG00000020644,Id2,-0.451359984,1.583780267,5.92E-25,1.194363789,0.323770954,2.058950658
,,,,,,,
ENSMUSG00000024359,Hspa9,0.187448531,1.582277576,8.81E-25,1.107386373,0.767333571,1.255380545
,,,,,,,
ENSMUSG00000040026,Saa3,0.714723083,1.559981992,1.61E-23,1.793751632,0.026337875,1.448335568
,,,,,,,
ENSMUSG00000037706,Cd81,-0.406675936,1.558907453,6.98E-24,0.632792213,0.403599611,1.056915639
,,,,,,,
ENSMUSG00000018770,Atp5g3,0.200060916,1.558787621,2.09E-24,1.933671823,0.729789167,2.168766451
,,,,,,,
ENSMUSG00000002985,Apoe,-0.02379628,1.554696843,1.46E-24,31.87974396,1,41.33170785
,,,,,,,
ENSMUSG00000026473,Glul,0.201689066,1.553090008,4.85E-22,1.685975269,0.749299935,1.887980615
,,,,,,,
ENSMUSG00000057465,Saa2,0.539211379,1.541901704,6.51E-24,45.98836318,0.115724294,41.40759149
,,,,,,,
ENSMUSG00000034994,Eef2,-0.098773454,1.529382499,1.32E-23,1.499415015,1,2.037347551
,,,,,,,
ENSMUSG00000005610,Eif4g2,-0.115513801,1.529022025,2.87E-23,0.795402164,1,1.093029924
,,,,,,,
ENSMUSG00000054072,Iigp1,0.146411764,1.478120539,5.41E-22,1.205078398,0.878849865,1.388272385
,,,,,,,
ENSMUSG00000078675,Mup16,0.502343857,1.439363391,1.47E-20,1.013475975,0.163225334,0.924896652
,,,,,,,
ENSMUSG00000024990,Rbp4,0.643088549,1.42672738,3.92E-21,14.11933383,0.045659705,11.76185519
,,,,,,,
ENSMUSG00000031672,Got2,0.419465571,1.417920746,2.15E-20,1.020408957,0.269082736,0.979613613
,,,,,,,
ENSMUSG00000032383,Ppib,0.469754061,1.398915217,8.49E-20,1.213271923,0.197281341,1.125489137
,,,,,,,
ENSMUSG00000060703,Cd302,0.534993026,1.398232168,3.96E-20,2.408265983,0.120665041,2.142362654
,,,,,,,
ENSMUSG00000001123,Lgals9,0.252997811,1.397554051,7.18E-20,0.965575369,0.606558685,1.029475329
,,,,,,,
ENSMUSG00000072115,Ang,0.469764362,1.390469569,8.99E-20,2.149224549,0.194164481,1.991468226
,,,,,,,
ENSMUSG00000040883,Tmem205,0.564933176,1.383550661,1.05E-19,2.139770482,0.096579269,1.864686356
,,,,,,,
ENSMUSG00000024039,Cbs,0.419150006,1.379310367,1.93E-19,1.152765894,0.269272763,1.102194878
,,,,,,,
ENSMUSG00000048856,Slc25a47,0.301329783,1.372824796,1.61E-19,1.866232812,0.490293556,1.922894727
,,,,,,,
ENSMUSG00000041697,Cox6a1,0.244317317,1.338276861,2.00E-18,0.959272658,0.62836455,1.021783314
,,,,,,,
ENSMUSG00000030088,Aldh1l1,0.429636683,1.324587861,3.27E-18,1.383445128,0.250554266,1.305787795
,,,,,,,
ENSMUSG00000060002,Chpt1,0.550646328,1.306113807,1.30E-17,1.063267394,0.111016381,0.927187891
,,,,,,,
ENSMUSG00000032081,Apoc3,0.673489359,1.289751557,9.64E-18,17.67784462,0.033745497,14.2273916
,,,,,,,
ENSMUSG00000025980,Hspd1,0.573607599,1.282010888,2.90E-17,1.616015174,0.089908754,1.384671867
,,,,,,,
ENSMUSG00000073481,44257,0.61759784,1.272327563,7.95E-17,1.029863024,0.063661921,0.857359667
,,,,,,,
ENSMUSG00000031762,Mt2,0.592403955,1.261666021,6.72E-17,8.183440336,0.074871335,6.910375649
