,gene,score
521727,STK24,0.01
521966,NR0B2,0.02
526361,PLPP3,0.01
528890,IRS2,0.01
531426,TNFSF10,0.01
532411,TNFRSF6B,0.01
533299,TNFRSF10B,0.01
535181,CFLAR,0.03
535584,HDAC3,0.01
538632,SQSTM1,0.02
540801,MGAM,0.01
544396,SART1,0.01
546988,MYOM2,0.01
548395,XPR1,0.05
551027,KLF4,0.01
553216,ADIPOQ,0.38
558464,LITAF,0.01
558701,GDF15,0.01
560237,CCL4L2,0.01
566197,KEAP1,0.01
568971,FGF19,0.04
569663,NR1H4,0.32
574101,LRPPRC,0.01
575570,LPCAT3,0.01
579945,AKR1A1,0.01
580155,TLR6,0.01
581973,PEMT,0.32
582794,YAP1,0.01
585096,NCOA2,0.01
587036,PRDX4,0.01
590165,TXNIP,0.01
591388,KHDRBS1,0.02
592864,TNFSF13B,0.01
597389,NMU,0.01
598024,PPARGC1A,0.01
602621,RIPK3,0.01
603849,ADAMTS13,0.03
604065,ADAMTS5,0.01
606408,RASSF1,0.01
620453,DICER1,0.01
620897,SIRT3,0.01
621204,SIRT1,0.31
621799,MLYCD,0.01
627989,NUP62,0.02
632948,WWTR1,0.01
633621,IBTK,0.01
635436,TRPC4AP,0.01
637006,FGF21,0.33
637494,SLC17A5,0.01
638681,RNU1-1,0.01
639599,NOX1,0.01
641533,INTU,0.04
642756,GNMT,0.32
651372,NPC1L1,0.01
655583,IL22,0.01
660698,DCTN4,0.02
666437,SIRT6,0.01
670333,TM6SF2,0.31
670846,IL20RA,0.01
671301,TLR9,0.01
673008,FBXW5,0.01
680231,MOCOS,0.01
683346,FBXW7,0.01
690265,ZC4H2,0.01
693307,RETN,0.01
693769,LGALS14,0.01
695367,SLC12A9,0.01
696101,AKR1B10,0.01
697085,PNPLA2,0.02
701631,SEMA6A,0.01
702375,JCAD,0.01
703304,PRX,0.01
704197,HAMP,0.01
711734,XPO4,0.01
717029,ELOVL6,0.01
720616,SUV39H2,0.01
721219,GSDMD,0.01
721738,EHMT1,0.01
726146,PNPLA3,0.5
738005,HAVCR2,0.01
742512,IL33,0.01
743597,GGTLC1,0.01
743741,MTDH,0.01
748352,NLRP3,0.07
752877,H4-16,0.01
754459,BHLHE23,0.01
756662,PPARGC1B,0.01
757782,GPR119,0.02
758336,TRIM69,0.01
759275,SESN3,0.01
761035,TICAM1,0.01
762415,GPBAR1,0.03
764354,AWAT1,0.01
767424,MLKL,0.01
768019,SLC51A,0.01
771554,FNDC5,0.01
772272,PCSK9,0.01
773064,HSPA12A,0.01
775189,OR10A4,0.01
775450,SLC25A47,0.01
775955,LAMA1,0.31
780765,ARSH,0.01
782958,ENHO,0.01
783278,MALAT1,0.01
784255,RTL1,0.01
784450,CCL4L1,0.01
788428,MIR122,0.04
789605,MIR132,0.01
791027,MIR144,0.02
794485,MIR182,0.01
795458,MIR192,0.02
798396,MIR21,0.03
800346,MIR221,0.01
800729,MIR223,0.02
802346,MIR29A,0.01
802572,MIR296,0.01
804546,MIR33A,0.02
804728,MIR34A,0.03
810278,CISD2,0.01
810508,MIR375,0.01
812285,H4C15,0.01
812862,MIR451A,0.02
813505,MIR146B,0.01
819543,MIR33B,0.01
824139,CCR2,0.02
826131,ZGLP1,0.01
826585,MIR873,0.01
840064,LOC102724197,0.01
844012,LNCARSR,0.01
