gene,module
AANAT,Non-24 Hour Sleep-Wake Disorder
AANAT,Shift-Work Sleep Disorder
AANAT,"Sleep Disorders, Circadian Rhythm"
AARS1,"Charcot-Marie-Tooth Disease, Axonal, Type 2n"
AARS1,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29"
AARS2,OVARIOLEUKODYSTROPHY
AARS2,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8
AARS2,Hereditary Diffuse Leukoencephalopathy with Spheroids
AARS2,"LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE"
AARS2,Combined oxidative phosphorylation deficiency
AASS,"Hepatitis, Toxic"
AASS,Hyperlysinemias
AASS,"Hyperlysinemia, Periodic"
AASS,Saccharopinuria
AASS,"Hyperlysinemia, type I"
AASS,Drug-Induced Liver Disease
AASS,Lysine Alpha-Ketoglutarate Reductase Deficiency Disease
AASS,"Hepatitis, Drug-Induced"
AASS,Alpha-Aminoadipic Semialdehyde Deficiency Disease
AASS,Saccharopine dehydrogenase deficiency
AASS,Drug-Induced Acute Liver Injury
AASS,Intellectual Disability
AASS,Chemical and Drug Induced Liver Injury
AASS,Chemically-Induced Liver Toxicity
AATK,Adenocarcinoma of lung (disorder)
AATK,Ovarian Mucinous Adenocarcinoma
ABAT,Autistic Disorder
ABAT,Gastroesophageal reflux disease
ABAT,Jacksonian Seizure
ABAT,Lethargy
ABAT,"Liver Cirrhosis, Experimental"
ABAT,Flaccid Muscle Tone
ABAT,Muscle hypotonia
ABAT,Psychomotor Disorders
ABAT,"Reflex, Abnormal"
ABAT,Seizures
ABAT,Complex partial seizures
ABAT,"Reflex, Corneal, Decreased"
ABAT,Hyporeflexia
ABAT,Hyperreflexia
ABAT,Absent reflex
ABAT,Generalized seizures
ABAT,Clonic Seizures
ABAT,"Reflex, Gag, Absent"
ABAT,"Reflex, Deep Tendon, Absent"
ABAT,Visual seizure
ABAT,Tonic Seizures
ABAT,Epileptic drop attack
ABAT,Hoffman's Reflex
ABAT,"Reflex, Pendular"
ABAT,"Reflex, Corneal, Absent"
ABAT,Gamma aminobutyric acid transaminase deficiency
ABAT,"Seizures, Somatosensory"
ABAT,"Seizures, Auditory"
ABAT,Olfactory seizure
ABAT,Gustatory seizure
ABAT,Vertiginous seizure
ABAT,Motor retardation
ABAT,Developmental delay (disorder)
ABAT,Floppy Muscles
ABAT,Muscle Tone Atonic
ABAT,Tonic - clonic seizures
ABAT,"Reflex, Acoustic, Abnormal"
ABAT,Global developmental delay
ABAT,"Reflex, Ankle, Absent"
ABAT,"Reflex, Triceps, Absent"
ABAT,"Reflex, Biceps, Absent"
ABAT,"Reflex, Anal, Absent"
ABAT,Abnormal Deep Tendon Reflex
ABAT,Non-epileptic convulsion
ABAT,Single Seizure
ABAT,Atonic Absence Seizures
ABAT,Unilateral Hypotonia
ABAT,Developmental Psychomotor Disorders
ABAT,"Bulbocavernosus Reflex, Decreased"
ABAT,Bulbocavernousus Reflex Absent
ABAT,Palmo-Mental Reflex
ABAT,"Reflex, Anal, Decreased"
ABAT,"Reflex, Ankle, Abnormal"
ABAT,"Reflex, Ankle, Decreased"
ABAT,"Reflex, Biceps, Abnormal"
ABAT,"Reflex, Biceps, Decreased"
ABAT,"Reflex, Gag, Decreased"
ABAT,"Reflex, Knee, Abnormal"
ABAT,"Reflex, Knee, Decreased"
ABAT,"Reflex, Moro, Asymmetric"
ABAT,"Reflex, Triceps, Abnormal"
ABAT,"Reflex, Triceps, Decreased"
ABAT,Convulsive Seizures
ABAT,"Seizures, Focal"
ABAT,"Seizures, Sensory"
ABAT,Neonatal Hypotonia
ABAT,Nonepileptic Seizures
ABAT,Convulsions
ABAT,Absence Seizures
ABAT,Epileptic Seizures
ABAT,Myoclonic Seizures
ABAT,Generalized Absence Seizures
ABCA1,Atherosclerosis
ABCA1,Colorectal Carcinoma
ABCA1,Colorectal Neoplasms
ABCA1,Hypercholesterolemia
ABCA1,"Hypercholesterolemia, Familial"
ABCA1,"Kidney Failure, Chronic"
ABCA1,Schizophrenia
ABCA1,Tangier Disease
ABCA1,Apolipoprotein A-I deficiency
ABCA1,Hypoalphalipoproteinemias
ABCA1,Hyperlipoproteinemia Type IIa
ABCA1,Tangier Disease Neuropathy
ABCA1,Atherogenesis
ABCA1,Hyperlipoproteinemia Type IIb
ABCA1,"Hypoalphalipoproteinemia, Familial"
ABCA1,Familial HDL deficiency
ABCA1,"Hdl Deficiency, Type 2"
ABCA1,Peripheral Nervous System Diseases
ABCA10,Colorectal Carcinoma
ABCA10,Colorectal Neoplasms
ABCA12,Colorectal Carcinoma
ABCA12,Colorectal Neoplasms
ABCA12,Congenital ichthyosis
ABCA12,Congenital Nonbullous Ichthyosiform Erythroderma
ABCA12,Harlequin Fetus
ABCA12,Harlequin type ichthyosis
ABCA12,Pancreatic Ductal Adenocarcinoma
ABCA12,"Lamellar ichthyosis, type 2"
ABCA12,Ichthyosis Congenita II
ABCA12,Collodion Fetus
ABCA12,Ichthyosis Congenita I
ABCA13,Bipolar Disorder
ABCA13,Colorectal Carcinoma
ABCA13,Colorectal Neoplasms
ABCA13,Schizophrenia
ABCA13,Disease Exacerbation
ABCA3,Malignant neoplasm of breast
ABCA3,Colorectal Carcinoma
ABCA3,Colorectal Neoplasms
ABCA3,Pathological accumulation of air in tissues
ABCA3,Hyaline Membrane Disease
ABCA3,Pulmonary Hypertension
ABCA3,Pulmonary Fibrosis
ABCA3,"Respiratory Distress Syndrome, Newborn"
ABCA3,Hamman-Rich syndrome
ABCA3,Respiratory Distress Syndrome
ABCA3,Idiopathic Pulmonary Fibrosis
ABCA3,Cataract microcornea syndrome
ABCA3,"Surfactant Metabolism Dysfunction, Pulmonary, 3"
ABCA3,"Alveolitis, Fibrosing"
ABCA4,Malignant neoplasm of breast
ABCA4,Cleft upper lip
ABCA4,Colorectal Carcinoma
ABCA4,Colorectal Neoplasms
ABCA4,Disorder of eye
ABCA4,Retinitis Pigmentosa
ABCA4,Age related macular degeneration
ABCA4,Stargardt's disease
ABCA4,Familial Exudative Vitreoretinopathy
ABCA4,STARGARDT DISEASE 1 (disorder)
ABCA4,"Retinal Dystrophy, Early Onset Severe"
ABCA4,CONE-ROD DYSTROPHY 3 (disorder)
ABCA4,RETINITIS PIGMENTOSA 19
ABCA4,Cone-Rod Dystrophy 2
ABCA4,"Macular Degeneration, Age-Related, 2"
ABCA4,Juvenile macular degeneration
ABCA5,Colorectal Carcinoma
ABCA5,Colorectal Neoplasms
ABCA5,"Hypertrichosis Terminalis, Generalized, with or without Gingival Hyperplasia"
ABCA6,Colorectal Carcinoma
ABCA6,Colorectal Neoplasms
ABCA6,"Dermatitis, Allergic Contact"
ABCA7,Alzheimer's Disease
ABCA7,Presenile dementia
ABCA7,Disease Exacerbation
ABCA7,Familial Alzheimer Disease (FAD)
ABCA7,"Alzheimer Disease, Late Onset"
ABCA7,Acute Confusional Senile Dementia
ABCA7,"Alzheimer's Disease, Focal Onset"
ABCA7,"Alzheimer Disease, Early Onset"
ABCA7,Alzheimer Disease 9
ABCA7,"ALZHEIMER DISEASE 9, SUSCEPTIBILITY TO"
ABCA8,Colorectal Carcinoma
ABCA8,Colorectal Neoplasms
ABCA9,Colorectal Carcinoma
ABCA9,Colorectal Neoplasms
ABCB1,"Arthritis, Adjuvant-Induced"
ABCB1,Rheumatoid Arthritis
ABCB1,Behavior Disorders
ABCB1,Mental disorders
ABCB1,Malignant neoplasm of breast
ABCB1,Malignant Neoplasms
ABCB1,Cannabis Abuse
ABCB1,Cannabis Dependence
ABCB1,Carcinoma
ABCB1,Non-Small Cell Lung Carcinoma
ABCB1,Ulcerative Colitis
ABCB1,Colorectal Carcinoma
ABCB1,Colorectal Neoplasms
ABCB1,Mental Depression
ABCB1,Depressive disorder
ABCB1,Drug toxicity
ABCB1,Epilepsy
ABCB1,Escherichia coli Infections
ABCB1,Esophageal Neoplasms
ABCB1,Hashish Abuse
ABCB1,Congenital Heart Defects
ABCB1,"Hepatitis, Toxic"
ABCB1,"Hypotension, Orthostatic"
ABCB1,Kidney Neoplasm
ABCB1,Childhood Acute Lymphoblastic Leukemia
ABCB1,L2 Acute Lymphoblastic Leukemia
ABCB1,"Liver Cirrhosis, Experimental"
ABCB1,Marijuana Abuse
ABCB1,Nausea
ABCB1,Neoplasm Metastasis
ABCB1,Neoplasms
ABCB1,nervous system disorder
ABCB1,Neuroblastoma
ABCB1,Neutropenia
ABCB1,"Pain, Postoperative"
ABCB1,Parkinson Disease
ABCB1,Secondary Parkinson Disease
ABCB1,Psychotic Disorders
ABCB1,Schizophrenia
ABCB1,Chromosomal translocation
ABCB1,Unipolar Depression
ABCB1,Adverse reaction to drug
ABCB1,Vomiting
ABCB1,Diffuse Large B-Cell Lymphoma
ABCB1,"Epilepsy, Cryptogenic"
ABCB1,Benign Neoplasm
ABCB1,"Encephalopathy, Toxic"
ABCB1,Toxic Encephalitis
ABCB1,Anaplastic carcinoma
ABCB1,"Carcinoma, Spindle-Cell"
ABCB1,Undifferentiated carcinoma
ABCB1,Carcinomatosis
ABCB1,Adrenocortical carcinoma
ABCB1,Neurotoxicity Syndromes
ABCB1,Disease Exacerbation
ABCB1,Aura
ABCB1,Cannabis-Related Disorder
ABCB1,"Diagnosis, Psychiatric"
ABCB1,Hematopoietic Neoplasms
ABCB1,Hematologic Neoplasms
ABCB1,Malignant neoplasm of esophagus
ABCB1,Breast Carcinoma
ABCB1,Malignant neoplasm of kidney
ABCB1,Awakening Epilepsy
ABCB1,"Parkinson Disease, Secondary Vascular"
ABCB1,Atherosclerotic Parkinsonism
ABCB1,Drug-Induced Liver Disease
ABCB1,"Arthritis, Collagen-Induced"
ABCB1,"Arthritis, Experimental"
ABCB1,Squamous cell carcinoma of the head and neck
ABCB1,"Mammary Neoplasms, Human"
ABCB1,"Hepatitis, Drug-Induced"
ABCB1,Major Depressive Disorder
ABCB1,Mammary Neoplasms
ABCB1,COLCHICINE RESISTANCE
ABCB1,Precursor Cell Lymphoblastic Leukemia Lymphoma
ABCB1,Liver carcinoma
ABCB1,Inflammatory Bowel Disease 13
ABCB1,Drug-Induced Acute Liver Injury
ABCB1,"Mental Disorders, Severe"
ABCB1,Chemical and Drug Induced Liver Injury
ABCB1,Chemically-Induced Liver Toxicity
ABCB1,"Mammary Carcinoma, Human"
ABCB1,Peripheral Nervous System Diseases
ABCB10,Malignant neoplasm of breast
ABCB10,Colorectal Carcinoma
ABCB10,Colorectal Neoplasms
ABCB11,Afibrinogenemia
ABCB11,Cholestasis
ABCB11,Intrahepatic Cholestasis
ABCB11,Colorectal Carcinoma
ABCB11,Colorectal Neoplasms
ABCB11,Pruritus
ABCB11,Progressive intrahepatic cholestasis (disorder)
ABCB11,Cholestasis of pregnancy
ABCB11,Congenital hypofibrinogenemia
ABCB11,"Cholestasis, benign recurrent intrahepatic 2"
ABCB11,"Cholestasis, Progressive Familial Intrahepatic, 2"
ABCB11,Fibrinogen Deficiency
ABCB11,"Cholestasis, progressive familial intrahepatic 1"
ABCB11,"Cholestasis, benign recurrent intrahepatic 1"
ABCB4,Cholangitis
ABCB4,Primary biliary cirrhosis
ABCB4,"Cholangitis, Sclerosing"
ABCB4,Cholelithiasis
ABCB4,Colorectal Carcinoma
ABCB4,Colorectal Neoplasms
ABCB4,Inflammation
ABCB4,"Jaundice, Obstructive"
ABCB4,Liver Cirrhosis
ABCB4,Biliary cirrhosis
ABCB4,Liver diseases
ABCB4,Liver Dysfunction
ABCB4,Disease Exacerbation
ABCB4,Secondary Biliary Cholangitis
ABCB4,"Fibrosis, Liver"
ABCB4,Progressive intrahepatic cholestasis (disorder)
ABCB4,Cholestasis of pregnancy
ABCB4,Non-alcoholic Fatty Liver Disease
ABCB4,Primary sclerosing cholangitis
ABCB4,End Stage Liver Disease
ABCB4,Cholecystolithiasis
ABCB4,"Cholestasis, progressive familial intrahepatic 3"
ABCB4,Liver carcinoma
ABCB4,Low phospholipid-associated cholelithiasis
ABCB4,Chronic Liver Failure
ABCB4,Nonalcoholic Steatohepatitis
ABCB4,Familial intrahepatic cholestasis of pregnancy
ABCB4,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3"
ABCB4,"Biliary Cirrhosis, Primary, 1"
ABCB4,"Cholestasis, progressive familial intrahepatic 1"
ABCB4,"Cholestasis, benign recurrent intrahepatic 1"
ABCB5,Colorectal Carcinoma
ABCB5,Colorectal Neoplasms
ABCB5,melanoma
ABCB5,Pancreatic Ductal Adenocarcinoma
ABCB6,Malignant neoplasm of breast
ABCB6,Colorectal Carcinoma
ABCB6,Colorectal Neoplasms
ABCB6,Polycystic Ovary Syndrome
ABCB6,Coloboma of optic disc
ABCB6,Congenital coloboma of iris
ABCB6,Coloboma of lens
ABCB6,Coloboma of eyelid
ABCB6,Sclerocystic Ovaries
ABCB6,Dyschromatosis universalis
ABCB6,"Pseudohyperkalemia, Familial, 2, due to Red Cell Leak"
ABCB6,Hereditary macular coloboma
ABCB6,Microphthalmia associated with colobomatous cyst
ABCB6,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7"
ABCB6,DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3
ABCB6,Coloboma of choroid and retina
ABCB7,Sideroblastic anemia
ABCB7,Ataxia
ABCB7,"Ataxia, Sensory"
ABCB7,"Ataxia, Motor"
ABCB7,"Ataxia, Truncal"
ABCB7,Abnormal coordination
ABCB7,"Ataxia, Appendicular"
ABCB7,"Tremor, Rubral"
ABCB7,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA"
ABCB8,Malignant neoplasm of breast
ABCC1,Malignant neoplasm of breast
ABCC1,Colorectal Carcinoma
ABCC1,Colorectal Neoplasms
ABCC1,Drug toxicity
ABCC1,Heart Diseases
ABCC1,"Hepatitis, Toxic"
ABCC1,Hypertensive disease
ABCC1,Adverse reaction to drug
ABCC1,Disease Exacerbation
ABCC1,Breast Carcinoma
ABCC1,Drug-Induced Liver Disease
ABCC1,Squamous cell carcinoma of the head and neck
ABCC1,"Mammary Neoplasms, Human"
ABCC1,"Hepatitis, Drug-Induced"
ABCC1,Mammary Neoplasms
ABCC1,Drug-Induced Acute Liver Injury
ABCC1,Chemical and Drug Induced Liver Injury
ABCC1,Chemically-Induced Liver Toxicity
ABCC1,"Mammary Carcinoma, Human"
ABCC1,Peripheral Nervous System Diseases
ABCC11,Disease Exacerbation
ABCC12,Bone Marrow Diseases
ABCC12,Drug toxicity
ABCC12,Adverse reaction to drug
ABCC13,Colorectal Carcinoma
ABCC13,Colorectal Neoplasms
ABCC2,Alopecia
ABCC2,Rheumatoid Arthritis
ABCC2,Primary biliary cirrhosis
ABCC2,Cholestasis
ABCC2,Colorectal Carcinoma
ABCC2,Colorectal Neoplasms
ABCC2,Drug Allergy
ABCC2,Drug toxicity
ABCC2,Gastrointestinal Diseases
ABCC2,Heart Diseases
ABCC2,"Hepatitis, Toxic"
ABCC2,Hyperbilirubinemia
ABCC2,Jacksonian Seizure
ABCC2,"Jaundice, Chronic Idiopathic"
ABCC2,Biliary cirrhosis
ABCC2,"Liver Cirrhosis, Experimental"
ABCC2,nervous system disorder
ABCC2,Seizures
ABCC2,Status Epilepticus
ABCC2,Adverse reaction to drug
ABCC2,Pseudopelade
ABCC2,Complex partial seizures
ABCC2,Androgenetic Alopecia
ABCC2,Generalized seizures
ABCC2,Clonic Seizures
ABCC2,Secondary Biliary Cholangitis
ABCC2,Female pattern alopecia (disorder)
ABCC2,Cholestasis of pregnancy
ABCC2,Petit mal status
ABCC2,Visual seizure
ABCC2,Tonic Seizures
ABCC2,Epileptic drop attack
ABCC2,Squamous cell carcinoma of esophagus
ABCC2,Grand Mal Status Epilepticus
ABCC2,Complex Partial Status Epilepticus
ABCC2,Non-alcoholic Fatty Liver Disease
ABCC2,"Seizures, Somatosensory"
ABCC2,"Seizures, Auditory"
ABCC2,Olfactory seizure
ABCC2,Gustatory seizure
ABCC2,Vertiginous seizure
ABCC2,Tonic - clonic seizures
ABCC2,Functional Gastrointestinal Disorders
ABCC2,Non-epileptic convulsion
ABCC2,Single Seizure
ABCC2,Atonic Absence Seizures
ABCC2,Convulsive Seizures
ABCC2,"Seizures, Focal"
ABCC2,"Seizures, Sensory"
ABCC2,"Status Epilepticus, Subclinical"
ABCC2,Non-Convulsive Status Epilepticus
ABCC2,Simple Partial Status Epilepticus
ABCC2,Drug-Induced Liver Disease
ABCC2,Squamous cell carcinoma of the head and neck
ABCC2,"Hepatitis, Drug-Induced"
ABCC2,Cholera Infantum
ABCC2,Nonalcoholic Steatohepatitis
ABCC2,Nonepileptic Seizures
ABCC2,Drug-Induced Acute Liver Injury
ABCC2,Convulsions
ABCC2,"Alopecia, Male Pattern"
ABCC2,Chemical and Drug Induced Liver Injury
ABCC2,Chemically-Induced Liver Toxicity
ABCC2,Absence Seizures
ABCC2,Epileptic Seizures
ABCC2,Myoclonic Seizures
ABCC2,Generalized Absence Seizures
ABCC2,"Biliary Cirrhosis, Primary, 1"
ABCC3,Rheumatoid Arthritis
ABCC3,Cholestasis
ABCC3,Colorectal Carcinoma
ABCC3,Colorectal Neoplasms
ABCC3,Hepatomegaly
ABCC4,Rheumatoid Arthritis
ABCC4,Cognition Disorders
ABCC4,Colorectal Carcinoma
ABCC4,Colorectal Neoplasms
ABCC4,Drug abuse
ABCC4,Drug habituation
ABCC4,Drug toxicity
ABCC4,Drug Use Disorders
ABCC4,Endometriosis
ABCC4,Neoplasm Metastasis
ABCC4,"Organic Mental Disorders, Substance-Induced"
ABCC4,Prostatic Neoplasms
ABCC4,Substance Dependence
ABCC4,Substance Use Disorders
ABCC4,Adverse reaction to drug
ABCC4,Substance-Related Disorders
ABCC4,Endometrioma
ABCC4,Complications of Diabetes Mellitus
ABCC4,Malignant neoplasm of prostate
ABCC4,Substance abuse problem
ABCC4,Drug Dependence
ABCC4,Prescription Drug Abuse
ABCC5,Rheumatoid Arthritis
ABCC5,Colorectal Carcinoma
ABCC5,Colorectal Neoplasms
ABCC5,"Liver Cirrhosis, Experimental"
ABCC6,Colorectal Carcinoma
ABCC6,Colorectal Neoplasms
ABCC6,Moyamoya Disease
ABCC6,Pseudoxanthoma Elasticum
ABCC6,Disease Exacerbation
ABCC6,Idiopathic arterial calcification of infancy
ABCC6,Gronblad-Strandberg Syndrome
ABCC6,Arterial calcification of infancy
ABCC6,"Pseudoxanthoma Elasticum, Incomplete"
ABCC6,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2"
ABCC8,Colorectal Carcinoma
ABCC8,Colorectal Neoplasms
ABCC8,"Diabetes Mellitus, Insulin-Dependent"
ABCC8,"Diabetes Mellitus, Non-Insulin-Dependent"
ABCC8,Neonatal diabetes mellitus
ABCC8,"Diabetes, Autoimmune"
ABCC8,"Hypoglycemia, leucine-induced"
ABCC8,Maturity onset diabetes mellitus in young
ABCC8,Brittle diabetes
ABCC8,"Diabetes Mellitus, Transient Neonatal, 1"
ABCC8,"DIABETES MELLITUS, PERMANENT NEONATAL"
ABCC8,"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 (disorder)"
ABCC8,"Developmental Delay, Epilepsy, and Neonatal Diabetes"
ABCC8,"Hyperinsulinemic hypoglycemia, familial, 1"
ABCC8,"Hyperinsulinemic hypoglycemia, familial, 2"
ABCC8,"Diabetes Mellitus, Ketosis-Prone"
ABCC8,Congenital Hyperinsulinism
ABCC8,Monogenic diabetes
ABCC8,Autosomal dominant hyperinsulinism due to SUR1 deficiency
ABCC8,"Diabetes Mellitus, Sudden-Onset"
ABCC9,Atrial Fibrillation
ABCC9,"Cardiomyopathy, Dilated"
ABCC9,Endometrial Neoplasms
ABCC9,Endometriosis
ABCC9,"Tachycardia, Ventricular"
ABCC9,Depressive Symptoms
ABCC9,Shortened QT interval
ABCC9,Endometrioma
ABCC9,Familial dilated cardiomyopathy
ABCC9,Endometrial Carcinoma
ABCC9,Cantu syndrome
ABCC9,Acromegaloid facial appearance syndrome
ABCC9,Cardiomyopathies
ABCC9,Brugada Syndrome (disorder)
ABCC9,"CARDIOMYOPATHY, DILATED, 1O"
ABCC9,"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)"
ABCC9,"ATRIAL FIBRILLATION, FAMILIAL, 12"
ABCD1,Adrenal gland hypofunction
ABCD1,"Paraparesis, Spastic"
ABCD1,"Spastic Paraplegia, Hereditary"
ABCD1,Adrenoleukodystrophy
ABCD1,Adrenomyeloneuropathy
ABCD1,Contiguous Abcd1-Dxs1375e Deletion Syndrome
ABCD2,Colorectal Carcinoma
ABCD2,Colorectal Neoplasms
ABCD2,Pancreatic Ductal Adenocarcinoma
ABCD3,Colorectal Carcinoma
ABCD3,Colorectal Neoplasms
ABCD3,Zellweger Syndrome
ABCD3,Zellweger-Like Syndrome
ABCD3,Zellweger Spectrum
ABCD3,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 5"
ABCD4,Colorectal Carcinoma
ABCD4,Colorectal Neoplasms
ABCD4,Inborn Errors of Metabolism
ABCD4,Vitamin B 12 Deficiency
ABCD4,Disease Exacerbation
ABCD4,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE"
ABCE1,Colorectal Carcinoma
ABCE1,Colorectal Neoplasms
ABCF1,Hypersensitivity
ABCF1,Pneumonia
ABCF1,Lobar Pneumonia
ABCF1,Disease Exacerbation
ABCF1,Experimental Lung Inflammation
ABCF1,Allergic Reaction
ABCF1,Pneumonitis
ABCF2,Disease Exacerbation
ABCG1,Colorectal Carcinoma
ABCG1,Colorectal Neoplasms
ABCG1,"Kidney Failure, Chronic"
ABCG1,"Liver Cirrhosis, Experimental"
ABCG1,Weight Gain
ABCG2,Adenoma
ABCG2,Rheumatoid Arthritis
ABCG2,Malignant neoplasm of breast
ABCG2,Primary biliary cirrhosis
ABCG2,Colorectal Carcinoma
ABCG2,Colorectal Neoplasms
ABCG2,Drug toxicity
ABCG2,Gout
ABCG2,Biliary cirrhosis
ABCG2,"Mammary Neoplasms, Experimental"
ABCG2,nervous system disorder
ABCG2,Adverse reaction to drug
ABCG2,Diffuse Large B-Cell Lymphoma
ABCG2,"Adenoma, Basal Cell"
ABCG2,Follicular adenoma
ABCG2,"Adenoma, Microcystic"
ABCG2,"Adenoma, Monomorphic"
ABCG2,Papillary adenoma
ABCG2,"Adenoma, Trabecular"
ABCG2,Secondary Biliary Cholangitis
ABCG2,Breast Carcinoma
ABCG2,Hyperuricemia
ABCG2,Squamous cell carcinoma of the head and neck
ABCG2,"Mammary Neoplasms, Human"
ABCG2,Mammary Neoplasms
ABCG2,"URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1"
ABCG2,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABCG2,"Biliary Cirrhosis, Primary, 1"
ABCG2,"Mammary Carcinoma, Human"
ABCG5,Atherosclerosis
ABCG5,Blood Platelet Disorders
ABCG5,Coronary Arteriosclerosis
ABCG5,Coronary heart disease
ABCG5,Hypercholesterolemia
ABCG5,"Hypercholesterolemia, Familial"
ABCG5,"Lipid Metabolism, Inborn Errors"
ABCG5,"Liver Cirrhosis, Experimental"
ABCG5,Prostatic Neoplasms
ABCG5,Xanthomatosis
ABCG5,Dyslipidemias
ABCG5,Xanthoma
ABCG5,Familial hypercholesterolemia - homozygous
ABCG5,Sitosterolemia
ABCG5,Malignant neoplasm of prostate
ABCG5,Dyslipoproteinemias
ABCG5,Atherogenesis
ABCG5,Coronary Artery Disease
ABCG5,"Macrothrombocytopenia-Stomatocytosis, Mediterranean"
ABCG8,Blood Platelet Disorders
ABCG8,Common Bile Duct Calculi
ABCG8,Coronary Arteriosclerosis
ABCG8,Hypercholesterolemia
ABCG8,"Hypercholesterolemia, Familial"
ABCG8,"Liver Cirrhosis, Experimental"
ABCG8,Biliary calculi
ABCG8,Cholestasis of pregnancy
ABCG8,Familial hypercholesterolemia - homozygous
ABCG8,Sitosterolemia
ABCG8,Coronary Artery Disease
ABCG8,GALLBLADDER DISEASE 4
ABCG8,"Macrothrombocytopenia-Stomatocytosis, Mediterranean"
ABHD12,"Ataxias, Hereditary"
ABHD12,Disorder of eye
ABHD12,Sensorineural Hearing Loss (disorder)
ABHD12,Nystagmus
ABHD12,Optic Atrophy
ABHD12,Retinitis Pigmentosa
ABHD12,Tremor
ABHD12,Hyporeflexia
ABHD12,Subcapsular cataract
ABHD12,Peripheral demyelinating neuropathy
ABHD12,Sensorimotor neuropathy
ABHD12,hearing impairment
ABHD12,Distal sensory impairment
ABHD12,Decreased nerve conduction velocity
ABHD12,"Nystagmus, CTCAE 3.0"
ABHD12,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract"
ABHD12,Distal muscle atrophy due to neurologic disease
ABHD12,Normal serum phytanic and pristanic acid
ABHD12,"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE"
ABHD12,"Nystagmus, CTCAE 5.0"
ABHD12B,Malignant neoplasm of breast
ABHD5,Triglyceride storage disease with ichthyosis
ABHD5,hearing impairment
ABI1,"Hepatitis, Toxic"
ABI1,Drug-Induced Liver Disease
ABI1,"Hepatitis, Drug-Induced"
ABI1,Drug-Induced Acute Liver Injury
ABI1,Chemical and Drug Induced Liver Injury
ABI1,Chemically-Induced Liver Toxicity
ABI3,Alzheimer's Disease
ABI3,Presenile dementia
ABI3,Familial Alzheimer Disease (FAD)
ABI3,"Alzheimer Disease, Late Onset"
ABI3,Acute Confusional Senile Dementia
ABI3,"Alzheimer's Disease, Focal Onset"
ABI3,"Alzheimer Disease, Early Onset"
ABI3BP,Endometriosis
ABI3BP,Unipolar Depression
ABI3BP,Endometrioma
ABI3BP,Major Depressive Disorder
