gene,module
ADAM8,KRAS_SIGNALING_UP
ADAM9,APICAL_JUNCTION
ADAM9,COMPLEMENT
ADAM9,COAGULATION
ADAMTS1,ANDROGEN_RESPONSE
ADAMTS5,APICAL_JUNCTION
ADAR,INTERFERON_ALPHA_RESPONSE
ADAR,INTERFERON_GAMMA_RESPONSE
ADCY1,ESTROGEN_RESPONSE_EARLY
ADCY2,PI3K_AKT_MTOR_SIGNALING
ADCY6,DNA_REPAIR
ADCY6,ADIPOGENESIS
ADCY9,ESTROGEN_RESPONSE_EARLY
ADCY9,MYOGENESIS
ADCYAP1,SPERMATOGENESIS
ADD1,APOPTOSIS
ADD1,HEME_METABOLISM
ADD2,HEME_METABOLISM
ADD3,ESTROGEN_RESPONSE_EARLY
ADD3,ESTROGEN_RESPONSE_LATE
ADD3,MTORC1_SIGNALING
ADD3,UV_RESPONSE_DN
ADH1C,XENOBIOTIC_METABOLISM
ADH1C,FATTY_ACID_METABOLISM
ADH4,CHOLESTEROL_HOMEOSTASIS
ADH5,XENOBIOTIC_METABOLISM
ADH7,XENOBIOTIC_METABOLISM
ADH7,FATTY_ACID_METABOLISM
ADIPOQ,ADIPOGENESIS
ADIPOR1,HEME_METABOLISM
ADIPOR2,ADIPOGENESIS
ADIPOR2,APICAL_SURFACE
ADIPOR2,MTORC1_SIGNALING
ADIPOR2,FATTY_ACID_METABOLISM
ADM,HYPOXIA
ADM,INFLAMMATORY_RESPONSE
ADORA2B,HYPOXIA
ADORA2B,INFLAMMATORY_RESPONSE
ADORA2B,GLYCOLYSIS
ADORA2B,UV_RESPONSE_DN
ADRA1B,APICAL_JUNCTION
ADRA2B,COMPLEMENT
ADRA2C,KRAS_SIGNALING_DN
ADRM1,DNA_REPAIR
ADRM1,ANDROGEN_RESPONSE
ADRM1,INFLAMMATORY_RESPONSE
ADSL,FATTY_ACID_METABOLISM
AFF1,ESTROGEN_RESPONSE_EARLY
AFF1,ESTROGEN_RESPONSE_LATE
AFG3L2,OXIDATIVE_PHOSPHORYLATION
AGER,IL2_STAT5_SIGNALING
AGFG1,SPERMATOGENESIS
AGGF1,UV_RESPONSE_DN
AGL,MYOGENESIS
AGL,GLYCOLYSIS
AGO2,UV_RESPONSE_UP
AGO4,DNA_REPAIR
AGPAT3,ADIPOGENESIS
AGPAT4,HEME_METABOLISM
AGR2,ESTROGEN_RESPONSE_LATE
AGRN,MYOGENESIS
AGRN,GLYCOLYSIS
AGXT,BILE_ACID_METABOLISM
AHCY,XENOBIOTIC_METABOLISM
AHCY,IL2_STAT5_SIGNALING
AHNAK,IL2_STAT5_SIGNALING
AHR,INFLAMMATORY_RESPONSE
AHR,IL2_STAT5_SIGNALING
AHSP,HEME_METABOLISM
AIFM1,ADIPOGENESIS
AIFM1,OXIDATIVE_PHOSPHORYLATION
AIMP2,MYC_TARGETS_V1
AIMP2,MYC_TARGETS_V2
AK1,DNA_REPAIR
AK1,MYOGENESIS
AK1,P53_PATHWAY
AK2,ADIPOGENESIS
AK2,E2F_TARGETS
AK3,DNA_REPAIR
AK3,GLYCOLYSIS
AK4,HYPOXIA
AK4,MTORC1_SIGNALING
AK4,GLYCOLYSIS
AKAP1,ESTROGEN_RESPONSE_EARLY
AKAP10,COMPLEMENT
AKAP12,HYPOXIA
AKAP12,ANDROGEN_RESPONSE
AKAP12,KRAS_SIGNALING_UP
AKAP13,MITOTIC_SPINDLE
AKAP2,IL2_STAT5_SIGNALING
AKAP4,SPERMATOGENESIS
AKAP7,APICAL_SURFACE
AKR1A1,GLYCOLYSIS
AKR1B10,KRAS_SIGNALING_DN
AKR1C2,XENOBIOTIC_METABOLISM
AKR1C3,XENOBIOTIC_METABOLISM
AKR1D1,BILE_ACID_METABOLISM
AKT1,ANDROGEN_RESPONSE
AKT1,PI3K_AKT_MTOR_SIGNALING
AKT1,ALLOGRAFT_REJECTION
AKT1S1,PI3K_AKT_MTOR_SIGNALING
AKT2,MYOGENESIS
AKT2,APICAL_JUNCTION
AKT2,KRAS_SIGNALING_UP
AKT3,APICAL_JUNCTION
AKT3,UV_RESPONSE_DN
AKT3,PANCREAS_BETA_CELLS
ALAD,FATTY_ACID_METABOLISM
ALAD,HEME_METABOLISM
ALAS1,XENOBIOTIC_METABOLISM
ALAS1,OXIDATIVE_PHOSPHORYLATION
ALAS1,UV_RESPONSE_UP
ALAS2,HEME_METABOLISM
ALB,PEROXISOME
ALCAM,CHOLESTEROL_HOMEOSTASIS
ALCAM,IL2_STAT5_SIGNALING
ALDH18A1,UNFOLDED_PROTEIN_RESPONSE
ALDH1A1,FATTY_ACID_METABOLISM
ALDH1A1,BILE_ACID_METABOLISM
ALDH1A1,PEROXISOME
ALDH1A2,KRAS_SIGNALING_UP
ALDH1A3,ANDROGEN_RESPONSE
ALDH1A3,KRAS_SIGNALING_UP
ALDH1L1,HEME_METABOLISM
ALDH2,ADIPOGENESIS
ALDH2,XENOBIOTIC_METABOLISM
ALDH3A1,XENOBIOTIC_METABOLISM
ALDH3A1,FATTY_ACID_METABOLISM
ALDH3A2,ESTROGEN_RESPONSE_LATE
ALDH3A2,FATTY_ACID_METABOLISM
ALDH3B1,ESTROGEN_RESPONSE_EARLY
ALDH3B1,ESTROGEN_RESPONSE_LATE
ALDH6A1,OXIDATIVE_PHOSPHORYLATION
ALDH6A1,HEME_METABOLISM
ALDH7A1,GLYCOLYSIS
ALDH9A1,XENOBIOTIC_METABOLISM
ALDH9A1,FATTY_ACID_METABOLISM
ALDH9A1,GLYCOLYSIS
ALDH9A1,BILE_ACID_METABOLISM
ALDH9A1,PEROXISOME
ALDOA,HYPOXIA
ALDOA,ADIPOGENESIS
ALDOA,MTORC1_SIGNALING
ALDOA,FATTY_ACID_METABOLISM
ALDOA,GLYCOLYSIS
ALDOA,UV_RESPONSE_UP
ALDOB,HYPOXIA
ALDOB,GLYCOLYSIS
ALDOC,HYPOXIA
ALDOC,CHOLESTEROL_HOMEOSTASIS
ALG1,GLYCOLYSIS
ALMS1,MITOTIC_SPINDLE
ALOX12B,KRAS_SIGNALING_DN
ALOX15,SPERMATOGENESIS
ALOX15B,APICAL_JUNCTION
ALOX15B,P53_PATHWAY
ALS2,MITOTIC_SPINDLE
ALYREF,DNA_REPAIR
AMACR,IL2_STAT5_SIGNALING
AMACR,BILE_ACID_METABOLISM
AMBN,KRAS_SIGNALING_DN
AMD1,G2M_CHECKPOINT
AMD1,UV_RESPONSE_UP
AMFR,ESTROGEN_RESPONSE_EARLY
AMFR,ESTROGEN_RESPONSE_LATE
AMH,APICAL_JUNCTION
AMMECR1,KRAS_SIGNALING_UP
AMOT,HEDGEHOG_SIGNALING
AMPD3,HYPOXIA
AMPH,UV_RESPONSE_DN
ANG,COMPLEMENT
ANG,GLYCOLYSIS
ANG,COAGULATION
ANGPT1,ADIPOGENESIS
ANGPTL3,XENOBIOTIC_METABOLISM
ANGPTL4,HYPOXIA
ANGPTL4,ADIPOGENESIS
ANGPTL4,GLYCOLYSIS
ANGPTL4,KRAS_SIGNALING_UP
ANK1,HEME_METABOLISM
ANKRA2,P53_PATHWAY
ANKRD2,MYOGENESIS
ANKZF1,HYPOXIA
ANKZF1,GLYCOLYSIS
ANLN,MITOTIC_SPINDLE
ANO1,KRAS_SIGNALING_UP
ANP32E,PROTEIN_SECRETION
ANP32E,E2F_TARGETS
ANPEP,EPITHELIAL_MESENCHYMAL_TRANSITION
ANTXR2,CHOLESTEROL_HOMEOSTASIS
ANXA1,APOPTOSIS
ANXA1,COAGULATION
ANXA13,CHOLESTEROL_HOMEOSTASIS
ANXA2,HYPOXIA
ANXA2,UV_RESPONSE_DN
ANXA5,CHOLESTEROL_HOMEOSTASIS
ANXA5,COMPLEMENT
AOC3,FATTY_ACID_METABOLISM
AOX1,XENOBIOTIC_METABOLISM
AP1G1,PROTEIN_SECRETION
AP2B1,PROTEIN_SECRETION
AP2M1,PROTEIN_SECRETION
AP2M1,PI3K_AKT_MTOR_SIGNALING
AP2S1,PROTEIN_SECRETION
AP2S1,UV_RESPONSE_UP
AP3B1,PROTEIN_SECRETION
AP3S1,PROTEIN_SECRETION
AP3S1,MYC_TARGETS_V1
AP4B1,XENOBIOTIC_METABOLISM
APAF1,P53_PATHWAY
APBB1,ALLOGRAFT_REJECTION
APBB2,UV_RESPONSE_DN
APC,MITOTIC_SPINDLE
APC,TGF_BETA_SIGNALING
APEX1,MYC_TARGETS_V1
APEX1,FATTY_ACID_METABOLISM
APH1A,NOTCH_SIGNALING
APLNR,MYOGENESIS
APLNR,INFLAMMATORY_RESPONSE
APLP1,EPITHELIAL_MESENCHYMAL_TRANSITION
APLP1,IL2_STAT5_SIGNALING
APLP2,ADIPOGENESIS
APOA1,COAGULATION
APOA1,BILE_ACID_METABOLISM
APOA4,COMPLEMENT
APOBEC3F,COMPLEMENT
APOBEC3G,COMPLEMENT
APOC1,COMPLEMENT
APOC1,COAGULATION
APOC2,COAGULATION
APOC3,COAGULATION
APOD,MYOGENESIS
APOD,KRAS_SIGNALING_UP
APOE,ADIPOGENESIS
APOE,XENOBIOTIC_METABOLISM
APOH,ANGIOGENESIS
APOM,UV_RESPONSE_UP
APP,APOPTOSIS
APP,MYOGENESIS
APP,APICAL_SURFACE
APP,P53_PATHWAY
APP,ANGIOGENESIS
APPBP2,ANDROGEN_RESPONSE
APRT,DNA_REPAIR
AQP3,ESTROGEN_RESPONSE_EARLY
AQP3,UV_RESPONSE_UP
AQP3,HEME_METABOLISM
AQP7,FATTY_ACID_METABOLISM
AQP9,INFLAMMATORY_RESPONSE
AQP9,XENOBIOTIC_METABOLISM
AQP9,BILE_ACID_METABOLISM
AR,ESTROGEN_RESPONSE_EARLY
AR,BILE_ACID_METABOLISM
ARAF,ADIPOGENESIS
ARAP3,MITOTIC_SPINDLE
ARCN1,PROTEIN_SECRETION
AREG,TNFA_SIGNALING_VIA_NFKB
AREG,ESTROGEN_RESPONSE_EARLY
AREG,ESTROGEN_RESPONSE_LATE
AREG,EPITHELIAL_MESENCHYMAL_TRANSITION
ARF1,PROTEIN_SECRETION
ARF1,PI3K_AKT_MTOR_SIGNALING
ARF4,COAGULATION
ARF6,MITOTIC_SPINDLE
ARFGAP1,UNFOLDED_PROTEIN_RESPONSE
ARFGAP3,PROTEIN_SECRETION
ARFGEF1,MITOTIC_SPINDLE
ARFGEF1,PROTEIN_SECRETION
ARFGEF2,PROTEIN_SECRETION
ARFIP1,PROTEIN_SECRETION
ARFIP2,MITOTIC_SPINDLE
ARG1,XENOBIOTIC_METABOLISM
ARG1,KRAS_SIGNALING_UP
ARG2,XENOBIOTIC_METABOLISM
ARHGAP10,MITOTIC_SPINDLE
ARHGAP27,MITOTIC_SPINDLE
ARHGAP29,MITOTIC_SPINDLE
ARHGAP4,MITOTIC_SPINDLE
ARHGAP5,MITOTIC_SPINDLE
ARHGDIA,MITOTIC_SPINDLE
ARHGDIA,PI3K_AKT_MTOR_SIGNALING
ARHGDIG,KRAS_SIGNALING_DN
ARHGEF11,MITOTIC_SPINDLE
ARHGEF12,MITOTIC_SPINDLE
ARHGEF12,HEME_METABOLISM
ARHGEF2,MITOTIC_SPINDLE
ARHGEF3,MITOTIC_SPINDLE
ARHGEF6,APICAL_JUNCTION
ARHGEF7,MITOTIC_SPINDLE
ARHGEF9,UV_RESPONSE_DN
ARID4A,G2M_CHECKPOINT
ARID4B,TGF_BETA_SIGNALING
ARID5B,ANDROGEN_RESPONSE
ARID5B,INTERFERON_GAMMA_RESPONSE
ARL2BP,HEME_METABOLISM
ARL3,ESTROGEN_RESPONSE_EARLY
ARL3,ESTROGEN_RESPONSE_LATE
ARL4A,ADIPOGENESIS
ARL4A,INTERFERON_GAMMA_RESPONSE
ARL4A,IL2_STAT5_SIGNALING
ARL4A,SPERMATOGENESIS
ARL6IP1,DNA_REPAIR
ARL8A,MITOTIC_SPINDLE
ARPC2,APICAL_JUNCTION
ARPC3,PI3K_AKT_MTOR_SIGNALING
ARPC5L,MTORC1_SIGNALING
ARPP19,XENOBIOTIC_METABOLISM
ARPP19,GLYCOLYSIS
ARPP21,KRAS_SIGNALING_DN
ARRB1,NOTCH_SIGNALING
ARRB2,UV_RESPONSE_UP
ART3,SPERMATOGENESIS
ARTN,GLYCOLYSIS
ASB13,ESTROGEN_RESPONSE_EARLY
ASB7,KRAS_SIGNALING_DN
ASCL1,ESTROGEN_RESPONSE_LATE
ASF1A,E2F_TARGETS
ASF1B,E2F_TARGETS
ASL,XENOBIOTIC_METABOLISM
ASNS,UNFOLDED_PROTEIN_RESPONSE
ASNS,MTORC1_SIGNALING
ASNS,UV_RESPONSE_UP
ASNS,HEME_METABOLISM
ASS1,ESTROGEN_RESPONSE_LATE
ATAD2,E2F_TARGETS
ATF1,PI3K_AKT_MTOR_SIGNALING
ATF3,TNFA_SIGNALING_VIA_NFKB
ATF3,HYPOXIA
ATF3,CHOLESTEROL_HOMEOSTASIS
ATF3,APOPTOSIS
ATF3,UNFOLDED_PROTEIN_RESPONSE
ATF3,P53_PATHWAY
ATF3,UV_RESPONSE_UP
ATF4,UNFOLDED_PROTEIN_RESPONSE
ATF5,CHOLESTEROL_HOMEOSTASIS
ATF5,G2M_CHECKPOINT
ATF6,UNFOLDED_PROTEIN_RESPONSE
ATG10,KRAS_SIGNALING_UP
ATG4A,HEME_METABOLISM
ATG4B,MITOTIC_SPINDLE
ATOX1,COMPLEMENT
ATOX1,REACTIVE_OXIGEN_SPECIES_PATHWAY
ATP1A1,PROTEIN_SECRETION
ATP1A3,APICAL_JUNCTION
ATP1B1,OXIDATIVE_PHOSPHORYLATION
ATP1B3,ADIPOGENESIS
ATP2A1,MYOGENESIS
ATP2A2,MTORC1_SIGNALING
ATP2A2,INFLAMMATORY_RESPONSE
ATP2A2,XENOBIOTIC_METABOLISM
ATP2B1,TNFA_SIGNALING_VIA_NFKB
ATP2B1,INFLAMMATORY_RESPONSE
ATP2B1,UV_RESPONSE_DN
ATP2B4,ESTROGEN_RESPONSE_LATE
ATP2B4,UV_RESPONSE_DN
ATP4A,KRAS_SIGNALING_DN
ATP6AP1,MYOGENESIS
ATP6AP1,OXIDATIVE_PHOSPHORYLATION
ATP6V0A1,HEME_METABOLISM
ATP6V0A4,APICAL_SURFACE
ATP6V0B,OXIDATIVE_PHOSPHORYLATION
ATP6V0C,OXIDATIVE_PHOSPHORYLATION
ATP6V0D1,UNFOLDED_PROTEIN_RESPONSE
ATP6V0E1,OXIDATIVE_PHOSPHORYLATION
ATP6V1B1,PROTEIN_SECRETION
ATP6V1B1,KRAS_SIGNALING_DN
ATP6V1C1,OXIDATIVE_PHOSPHORYLATION
ATP6V1C1,UV_RESPONSE_UP
ATP6V1D,MTORC1_SIGNALING
ATP6V1D,OXIDATIVE_PHOSPHORYLATION
ATP6V1E1,OXIDATIVE_PHOSPHORYLATION
ATP6V1F,OXIDATIVE_PHOSPHORYLATION
ATP6V1F,UV_RESPONSE_UP
ATP6V1G1,OXIDATIVE_PHOSPHORYLATION
ATP6V1H,PROTEIN_SECRETION
ATP6V1H,OXIDATIVE_PHOSPHORYLATION
ATP7A,HYPOXIA
ATP7A,PROTEIN_SECRETION
ATP8B1,APICAL_SURFACE
ATRN,UV_RESPONSE_DN
ATRX,G2M_CHECKPOINT
ATRX,UV_RESPONSE_DN
ATXN1,UV_RESPONSE_DN
ATXN1,BILE_ACID_METABOLISM
ATXN1,PEROXISOME
ATXN2,CHOLESTEROL_HOMEOSTASIS
AUH,FATTY_ACID_METABOLISM
AURKA,MITOTIC_SPINDLE
AURKA,G2M_CHECKPOINT
AURKA,MTORC1_SIGNALING
AURKA,E2F_TARGETS
AURKA,GLYCOLYSIS
AURKA,SPERMATOGENESIS
AURKB,G2M_CHECKPOINT
AURKB,E2F_TARGETS
AUTS2,INTERFERON_GAMMA_RESPONSE
AVL9,KRAS_SIGNALING_UP
AVPR1A,CHOLESTEROL_HOMEOSTASIS
AVPR1A,APOPTOSIS
AXIN1,WNT_BETA_CATENIN_SIGNALING
AXIN2,WNT_BETA_CATENIN_SIGNALING
AXL,INFLAMMATORY_RESPONSE
AZGP1,ANDROGEN_RESPONSE
B2M,ANDROGEN_RESPONSE
B2M,INTERFERON_ALPHA_RESPONSE
B2M,INTERFERON_GAMMA_RESPONSE
B2M,ALLOGRAFT_REJECTION
B3GALT6,HYPOXIA
B3GALT6,GLYCOLYSIS
B3GAT1,GLYCOLYSIS
B3GAT3,GLYCOLYSIS
B3GNT3,GLYCOLYSIS
B4GALNT2,HYPOXIA
B4GALT1,TNFA_SIGNALING_VIA_NFKB
B4GALT1,ESTROGEN_RESPONSE_EARLY
B4GALT1,ANDROGEN_RESPONSE
B4GALT1,APICAL_JUNCTION
B4GALT1,APICAL_SURFACE
B4GALT1,GLYCOLYSIS
B4GALT2,GLYCOLYSIS
B4GALT4,GLYCOLYSIS
B4GALT5,TNFA_SIGNALING_VIA_NFKB
B4GALT7,GLYCOLYSIS
BACH1,HEME_METABOLISM
BAG1,ESTROGEN_RESPONSE_EARLY
BAG1,ESTROGEN_RESPONSE_LATE
BAG1,MYOGENESIS
BAG3,UNFOLDED_PROTEIN_RESPONSE
BAIAP2,APICAL_JUNCTION
BAIAP2,P53_PATHWAY
BAK1,IL6_JAK_STAT3_SIGNALING
BAK1,P53_PATHWAY
BAK1,UV_RESPONSE_UP
BANF1,UNFOLDED_PROTEIN_RESPONSE
BARD1,G2M_CHECKPOINT
BARD1,E2F_TARGETS
BARD1,KRAS_SIGNALING_DN
BASP1,EPITHELIAL_MESENCHYMAL_TRANSITION
BATF,ESTROGEN_RESPONSE_LATE
BATF,IL2_STAT5_SIGNALING
BATF2,INTERFERON_ALPHA_RESPONSE
BATF2,INTERFERON_GAMMA_RESPONSE
BATF3,IL2_STAT5_SIGNALING
BAX,APOPTOSIS
BAX,OXIDATIVE_PHOSPHORYLATION
BAX,P53_PATHWAY
BAZ2A,ADIPOGENESIS
BBOX1,BILE_ACID_METABOLISM
BCAN,HYPOXIA
BCAP31,DNA_REPAIR
BCAP31,APOPTOSIS
BCAR1,MITOTIC_SPINDLE
BCAR1,XENOBIOTIC_METABOLISM
BCAR3,TGF_BETA_SIGNALING
BCAR3,BILE_ACID_METABOLISM
BCAT1,MTORC1_SIGNALING
BCAT1,XENOBIOTIC_METABOLISM
BCAT1,ALLOGRAFT_REJECTION
BCKDHA,ADIPOGENESIS
BCKDHA,OXIDATIVE_PHOSPHORYLATION
BCKDHB,FATTY_ACID_METABOLISM
BCKDHB,UV_RESPONSE_DN
BCL10,APOPTOSIS
BCL10,PEROXISOME
BCL10,ALLOGRAFT_REJECTION
BCL11B,ESTROGEN_RESPONSE_EARLY
BCL2,HYPOXIA
BCL2,ESTROGEN_RESPONSE_EARLY
BCL2,ESTROGEN_RESPONSE_LATE
BCL2,IL2_STAT5_SIGNALING
BCL2A1,TNFA_SIGNALING_VIA_NFKB
BCL2L1,APOPTOSIS
BCL2L1,IL2_STAT5_SIGNALING
BCL2L10,APOPTOSIS
BCL2L11,MITOTIC_SPINDLE
BCL2L11,APOPTOSIS
BCL2L11,UV_RESPONSE_UP
BCL2L13,ADIPOGENESIS
BCL2L2,APOPTOSIS
BCL3,TNFA_SIGNALING_VIA_NFKB
BCL3,G2M_CHECKPOINT
BCL3,ALLOGRAFT_REJECTION
BCL6,TNFA_SIGNALING_VIA_NFKB
BCL6,ADIPOGENESIS
BCR,MITOTIC_SPINDLE
BDH2,OXIDATIVE_PHOSPHORYLATION
BDKRB1,INFLAMMATORY_RESPONSE
BDKRB2,MYOGENESIS
BDNF,EPITHELIAL_MESENCHYMAL_TRANSITION
BDNF,UV_RESPONSE_DN
BEST1,INFLAMMATORY_RESPONSE
BET1,PROTEIN_SECRETION
BGN,HYPOXIA
BGN,APOPTOSIS
BGN,EPITHELIAL_MESENCHYMAL_TRANSITION
BHLHE40,TNFA_SIGNALING_VIA_NFKB
BHLHE40,HYPOXIA
BHLHE40,ESTROGEN_RESPONSE_EARLY
BHLHE40,MYOGENESIS
BHLHE40,MTORC1_SIGNALING
BHLHE40,UV_RESPONSE_DN
BHLHE40,IL2_STAT5_SIGNALING
BID,APOPTOSIS
BID,UV_RESPONSE_UP
BIK,APOPTOSIS
BIK,GLYCOLYSIS
BIN1,MITOTIC_SPINDLE
BIN1,MYOGENESIS
BIRC2,TNFA_SIGNALING_VIA_NFKB
BIRC3,TNFA_SIGNALING_VIA_NFKB
BIRC3,APOPTOSIS
BIRC3,KRAS_SIGNALING_UP
BIRC5,MITOTIC_SPINDLE
BIRC5,G2M_CHECKPOINT
BIRC5,E2F_TARGETS
BLCAP,P53_PATHWAY
BLVRA,FATTY_ACID_METABOLISM
BLVRA,HEME_METABOLISM
BLVRB,ESTROGEN_RESPONSE_EARLY
